gene_symbol	log2FoldChange	pvalue	padj	significance
RN7SL489P	NA	NA	NA	Not significant
GOLGA6D	NA	NA	NA	Not significant
RN7SL327P	NA	NA	NA	Not significant
DNM1P34	-0.756477152142894	0.663556028192026	NA	Not significant
ANP32BP1	-0.658392482220581	0.234171444417	NA	Not significant
ENSG00000241890	-0.260553107117006	0.936622081672705	NA	Not significant
ENSG00000261714	-0.549000608432912	0.866940003412431	NA	Not significant
ENSG00000260165	0.151641016194834	0.963088569939418	NA	Not significant
ENSG00000260235	-0.307400656753858	0.801672252401565	NA	Not significant
ENSG00000260206	-0.585297233259507	0.716000057059916	NA	Not significant
ENSG00000261043	-0.507617788688327	0.876884739466599	NA	Not significant
MIR4313	NA	NA	NA	Not significant
ENSG00000187812	-0.301287729383913	0.89885727085967	NA	Not significant
RN7SL319P	NA	NA	NA	Not significant
DNM1P49	-0.466650168772926	0.886753558172694	NA	Not significant
RN7SL510P	1.41914180650907	0.0967524508908682	NA	Not significant
ENSG00000260685	1.15163896828897	0.248833532237286	NA	Not significant
ENSG00000259514	-0.158375123091004	0.917338511695164	NA	Not significant
ENSG00000270036	-1.08760907579735	0.305084886660183	NA	Not significant
ENSG00000261232	-0.796078244747837	0.808039221595251	NA	Not significant
MIR3713	NA	NA	NA	Not significant
RN7SKP217	-0.89996213142727	0.476081823859356	NA	Not significant
RN7SL278P	-0.743738939537154	0.499612296605251	NA	Not significant
KRT8P23	-0.278663615689181	0.924010361646431	NA	Not significant
ENSG00000259722	-0.342903546824722	0.916654403516215	NA	Not significant
ENSG00000230459	-0.466650168772926	0.886753558172694	NA	Not significant
ENSG00000279033	-0.750484115709401	0.563357906300674	NA	Not significant
ENSG00000259420	-0.34504987272786	0.766206473075585	NA	Not significant
LINGO1-AS1	-2.18762747467187	0.0366803586813809	NA	Not significant
LINGO1-AS2	-0.549000608432912	0.866940003412431	NA	Not significant
ENSG00000280359	-0.549000608432912	0.866940003412431	NA	Not significant
ENSG00000259213	-0.466650168772926	0.886753558172694	NA	Not significant
ENSG00000261244	-0.425258507495493	0.896737792745439	NA	Not significant
RN7SL214P	-0.257603148819541	0.803348022862414	NA	Not significant
ENSG00000214646	-0.215356163211322	0.785423188213836	NA	Not significant
ENSG00000261403	-0.466650168772926	0.886753558172694	NA	Not significant
ENSG00000259792	0.607048895470523	0.662671789512536	NA	Not significant
SH2D7	1.72008172566015	0.181540071602358	NA	Not significant
ENSG00000199633	-0.549000608432912	0.866940003412431	NA	Not significant
ENSG00000259708	-0.917256230998371	0.623586169147471	NA	Not significant
ENSG00000259322	-0.717582404806407	0.672705461201271	NA	Not significant
ENSG00000277482	-0.282386620828582	0.889925877559008	NA	Not significant
ENSG00000279694	-0.237699045603833	0.877342322810346	NA	Not significant
ENSG00000259413	-0.136806485216531	0.966697003093907	NA	Not significant
ENSG00000259474	-0.672348492204471	0.837418648218805	NA	Not significant
ENSG00000261762	0.655069347164282	0.570318601268408	NA	Not significant
ENSG00000279421	-0.0544560454610855	0.986740556680782	NA	Not significant
ENSG00000259555	-0.180382797719837	0.956098945071449	NA	Not significant
ENSG00000261303	1.74578033676101	0.090502469325974	NA	Not significant
ENSG00000213307	0.141236420139177	0.889232636439013	NA	Not significant
